experiment,fold,rmsle,seconds,config
residual,2017-06-29,0.3705830440192016,119.342524875,{'residual': True}
residual,2017-07-15,0.39107085573084677,137.85148920900002,{'residual': True}
residual,2017-07-31,0.4194241344979584,127.66487341599998,{'residual': True}
lags,2017-06-29,0.3713087894945219,150.07679295800003,{}
lags,2017-07-15,0.3866236795081737,156.790706125,{}
lags,2017-07-31,0.42001843773102837,150.16205087500003,{}
season,2017-06-29,0.37260628365817955,147.577087584,{}
season,2017-07-15,0.3880843237534262,150.47209725,{}
season,2017-07-31,0.41304828570698904,148.934057291,{}
blend3,2017-06-29,0.37009899562442505,530.1215439590001,"{'variants': [{}, {'residual': True}, {'half_life': 180}]}"
blend3,2017-07-15,0.39585265590276,463.14555862500004,"{'variants': [{}, {'residual': True}, {'half_life': 180}]}"
blend3,2017-07-31,0.40892364734098946,570.645850041,"{'variants': [{}, {'residual': True}, {'half_life': 180}]}"
base_20origins,2017-06-29,0.37390563827796186,106.704525375,"{'n_origins': 20, 'origin_step': 14, 'max_iter': 500, 'learning_rate': 0.06}"
base_20origins,2017-07-15,0.3952157124160539,80.4950005,"{'n_origins': 20, 'origin_step': 14, 'max_iter': 500, 'learning_rate': 0.06}"
base_20origins,2017-07-31,0.4173800783761676,153.5885575,"{'n_origins': 20, 'origin_step': 14, 'max_iter': 500, 'learning_rate': 0.06}"
wide_52origins,2017-06-29,0.37260628365817955,302.812270542,"{'n_origins': 52, 'origin_step': 7}"
wide_52origins,2017-07-15,0.3880843237534262,316.3656166249999,"{'n_origins': 52, 'origin_step': 7}"
wide_52origins,2017-07-31,0.41304828570698904,157.317761667,"{'n_origins': 52, 'origin_step': 7}"
