date,total_sales,rolling_28
2013-01-01,2511.618999,
2013-01-02,496092.417944,
2013-01-03,361461.231124,
2013-01-04,354459.6770927,
2013-01-05,477350.121229,
2013-01-06,519695.401088,
2013-01-07,336122.801066,363956.1812203857
2013-01-08,318347.777981,358255.1308154625
2013-01-09,302530.809018,352063.53950463334
2013-01-10,258982.003049,342755.38585907
2013-01-11,289737.6850845,337935.59487956367
2013-01-12,403258.2120105,343379.1463071417
2013-01-13,464638.547998,352706.7925910539
2013-01-14,293348.362078,348466.90469726425
2013-01-15,299129.549954,345177.74771438
2013-01-16,318347.913946,343500.88310385623
2013-01-17,267498.5159755,339030.15562571766
2013-01-18,296130.850028,336646.8608702889
2013-01-19,432459.852021,341689.64987822104
2013-01-20,461092.386047,347659.78668665997
2013-01-21,311211.26595000003,345924.14284205716
2013-01-22,296214.728983,343664.62403028185
2013-01-23,283258.4530325,341038.2687695087
2013-01-24,247245.690995,337130.24469557084
2013-01-25,290022.77193,335245.945784948
2013-01-26,413799.7679753,338267.24663842306
2013-01-27,430411.991233,341680.0149567407
2013-01-28,285460.169953,339672.16334946424
2013-01-29,264488.81807649997,349028.49188794644
2013-01-30,281061.127052,341348.80292751786
2013-01-31,271254.217996,338127.1238872321
2013-02-01,369402.055266,338660.7802505643
2013-02-02,518887.462705,340144.25673185
2013-02-03,486336.82018,338952.87884227856
2013-02-04,344308.715017,339245.23291195714
2013-02-05,321245.83913,339348.73509585
2013-02-06,321538.177149,340027.5696719571
2013-02-07,290807.530973,341164.1956692428
2013-02-08,347441.789912,343225.0565559393
2013-02-09,416176.2790747,343686.41609394643
2013-02-10,300951.328993,337840.443986625
2013-02-11,278627.588926,337314.70208833925
2013-02-12,308800.7909121,337660.10355112853
2013-02-13,319597.929962,337704.7469802714
2013-02-14,308164.016957,339157.0863010393
2013-02-15,320168.883912,340015.5875111822
2013-02-16,485660.494008,341915.6104392893
2013-02-17,399588.910014,339719.057723825
2013-02-18,350745.573191,341130.9972681464
2013-02-19,293637.801951,341038.96415986074
2013-02-20,313803.162034,342129.84662419994
2013-02-21,267711.1090155,342860.7544106464
2013-02-22,285679.869131,342705.65073925356
2013-02-23,412897.349113,342673.42149417143
2013-02-24,452726.126103,343470.3548823857
2013-02-25,307110.875933,344243.59438167146
2013-02-26,270425.0070675,344455.60113135
2013-02-27,288401.998919,344717.7751266
2013-02-28,278116.291888,344962.84919417143
2013-03-01,378898.165064,345301.99597267143
2013-03-02,547857.205258,346336.6296352786
2013-03-03,559820.580027,348961.0496298143
2013-03-04,383647.679097,350366.0126326714
2013-03-05,332189.993189,350756.8752776357
2013-03-06,335726.580968,351263.60398545716
2013-03-07,293099.52701,351345.4609867786
2013-03-08,316600.679967,350243.99277445715
2013-03-09,453259.496866,351568.3934098607
2013-03-10,461859.756153,357315.12295128923
2013-03-11,318379.133021,358734.8209546822
2013-03-12,271823.37801,357414.1990653214
2013-03-13,287869.663972,356281.04670853575
2013-03-14,247541.420096,354115.9539635
2013-03-15,315878.090213,353962.7113313928
2013-03-16,482233.433961,353840.3163297143
2013-03-17,513439.584913,357906.4118618214
2013-03-18,330283.80303,357175.6343560714
2013-03-19,294020.245897,357189.2930684286
2013-03-20,321207.006946,357453.716101
2013-03-21,269130.127953,357504.39534876787
2013-03-22,304100.453969,358162.2733786964
2013-03-23,453192.003086,359601.36816344643
2013-03-24,449794.636951,359496.6721223036
2013-03-25,317559.6099585,359869.8411946428
2013-03-26,275818.2359,360062.4565100893
2013-03-27,313691.148998,360965.64044148213
2013-03-28,339293.269022,363150.5324819822
2013-03-29,345513.132,361958.2098725536
2013-03-30,452661.356036,358558.358114625
2013-03-31,462107.639956,355068.61025494646
2013-04-01,428816.447912,356681.78056976787
2013-04-02,377732.827961,358308.3103830536
2013-04-03,373731.0758793,359665.6137727429
2013-04-04,308738.385963,360224.1444496357
2013-04-05,336394.782031,360931.07666620717
2013-04-06,509424.214023,362936.9594218143
2013-04-07,519048.376884,364979.4101622072
2013-04-08,346649.815943,365989.07740942144
2013-04-09,306335.8019617,367221.66397912503
2013-04-10,312846.374941,368113.68937087496
2013-04-11,303223.41301,370102.3319749464
2013-04-12,314394.967035,370049.3632900179
2013-04-13,453442.497048,369021.115543125
2013-04-14,478417.148813,367770.3142538393
2013-04-15,338712.458055,368071.3376475893
2013-04-16,333431.880049,369478.89601016074
2013-04-17,334990.518942,369971.16429573216
2013-04-18,281924.509951,370428.1065099464
2013-04-19,311588.70494,370695.544044625
2013-04-20,459884.838043,370934.57386451785
2013-04-21,485721.032087,372217.6594050893
2013-04-22,328886.320986,372622.18479892856
2013-04-23,302097.8329435,373560.7418361964
2013-04-24,310555.184925,373448.7431193036
2013-04-25,268790.618996,370930.7913326607
2013-04-26,304413.556952,369462.94936666073
2013-04-27,446665.337895,369248.805861625
2013-04-28,477623.4729303,369802.9427535643
2013-04-29,328795.874018,366230.77940020716
2013-04-30,310186.466894,363818.4093621
2013-05-01,507974.636889,368612.82225530356
2013-05-02,348709.460063,370040.3606160179
2013-05-03,374291.2510323,371393.8059374928
2013-05-04,520339.51596499997,371783.6381497071
2013-05-05,580268.550981,373970.07293888566
2013-05-06,369869.383046,374799.3431925643
2013-05-07,317292.964148,375190.6704135036
2013-05-08,332477.410968,375891.7788430393
2013-05-09,305868.0570225,375986.2304149143
2013-05-10,335937.441949,376755.6045189857
2013-05-11,512090.58108,378850.17894869996
2013-05-12,387860.5050145,375616.0130987536
2013-05-13,350598.06187,376040.4989492893
2013-05-14,308469.313119,375148.9787017893
2013-05-15,329113.560081,374939.0873138964
2013-05-16,307556.946937,375854.53149196785
2013-05-17,330004.241998,376512.2292440393
2013-05-18,480969.558942,377265.2549904321
2013-05-19,518153.554009,378423.5593447893
2013-05-20,341787.214991,378884.3055592536
2013-05-21,307178.399952,379065.75438098575
2013-05-22,301785.4831075,378752.5507446464
2013-05-23,289261.058026,379483.6378528607
2013-05-24,398389.241982,382839.91231821786
2013-05-25,417930.141993,381813.65532171784
2013-05-26,450631.400068,380849.6527194929
2013-05-27,321630.8309235,380593.7583232607
2013-05-28,307329.1680565,380491.7119362071
2013-05-29,309333.380899,373397.3813651357
2013-05-30,304344.849939,371812.9310035643
2013-05-31,330257.841975,370240.3092515179
2013-06-01,566901.814988,371903.2485023393
2013-06-02,637698.494958,373954.3179300893
2013-06-03,426332.097995,375970.8434639821
2013-06-04,369705.160085,377842.7076045893
2013-06-05,361791.080915,378889.6243884107
2013-06-06,317496.765891,379304.93541942857
2013-06-07,357673.087977,380081.2084918571
2013-06-08,466292.699096,378445.5698495715
2013-06-09,526804.730256,383407.8636081964
2013-06-10,349754.291978,383377.7289691964
2013-06-11,283858.2159925,382498.7612146786
2013-06-12,320173.5779987,382179.4761403107
2013-06-13,282886.9200452,381298.4037513179
2013-06-14,326956.74210719997,381189.5644695036
2013-06-15,505950.6668701,382081.74689550715
2013-06-16,435894.082881,379143.9086409357
2013-06-17,370944.271024,380185.2320706857
2013-06-18,320885.3399215,380674.765641025
2013-06-19,319235.25797700003,381297.9718863643
2013-06-20,293877.944015,381462.8606716857
2013-06-21,319722.6870265,378653.34085184644
2013-06-22,446347.312096,379668.2397840964
2013-06-23,504964.845142,381608.7199653107
2013-06-24,336631.9640383,382144.4747194107
2013-06-25,305119.530064,382065.55907682143
2013-06-26,301847.2489636,381798.19722198567
2013-06-27,266525.458966,380447.5046872357
2013-06-28,324210.971803,380231.5450382357
2013-06-29,509379.108146,378177.16265102144
2013-06-30,533481.693027,374455.1340106285
2013-07-01,441758.3880965,375006.072942825
2013-07-02,390958.38408,375765.1166569321
2013-07-03,374551.917949,376220.8608367178
2013-07-04,327020.179028,376560.9827344679
2013-07-05,351401.500074,376336.9974522179
2013-07-06,479514.493924,376809.20441036066
2013-07-07,500606.073078,375873.538082575
2013-07-08,365452.995017,376434.2060482536
2013-07-09,317279.1449993,377627.81065563933
2013-07-10,314134.886071,377412.14308679284
2013-07-11,281750.931023,377371.5720502857
2013-07-12,308786.438133,376722.63262263575
2013-07-13,432569.1022205,374101.8624565786
2013-07-14,438722.417857,374202.87442000717
2013-07-15,348803.0469486,373412.1164173143
2013-07-16,335516.229006,373934.6481703321
2013-07-17,324313.8180255,374116.02531492145
2013-07-18,287074.8739522,373873.0585269643
2013-07-19,313332.555049,373644.8395277679
2013-07-20,435497.731013,373257.3544890893
2013-07-21,437952.624049,370864.060878625
2013-07-22,342802.29905,371084.42998618574
2013-07-23,316257.463107,371482.21330915
2013-07-24,309243.7899995,371746.37548900355
2013-07-25,298074.2249247,372873.1171303857
2013-07-26,318745.692921,372677.9285988857
2013-07-27,423890.5020012,369624.7640937143
2013-07-28,433358.6520873,366048.94120301073
2013-07-29,331493.2850525,362110.9018085822
2013-07-30,318553.989932,359525.0305890107
2013-07-31,357982.979012,358933.2827698322
2013-08-01,397555.3181021,361452.3948796214
2013-08-02,393831.120007,362967.73844865715
2013-08-03,516956.846013,364304.96530897863
2013-08-04,514267.27594,364792.8654111928
2013-08-05,407033.810946,366277.8945515143
2013-08-06,357263.854086,367705.9198760392
2013-08-07,351302.132003,369033.32151646784
2013-08-08,310953.0239315,370076.25340605713
2013-08-09,337521.667868,371102.5116108786
2013-08-10,434184.94409,371160.220249075
2013-08-11,434720.3230013,371017.28828994284
2013-08-12,349539.224033,371043.58032867144
2013-08-13,317103.331061,370385.97683063574
2013-08-14,324377.386893,370388.24714733206
2013-08-15,311043.17291,371244.2578243964
2013-08-16,364487.3218839,373071.21378278575
2013-08-17,448835.3109167,373547.5559222036
2013-08-18,464053.7730675,374479.7398157214
2013-08-19,362085.52696,375168.4265267929
2013-08-20,343046.11398,376125.16405797144
2013-08-21,335724.643932,377070.908841275
2013-08-22,306473.26098,377370.8744146786
2013-08-23,331906.369098,377840.8985638572
2013-08-24,420576.154994,377722.5290278857
2013-08-25,443694.093754,378091.65194455354
